model,dataset,macro_f1,micro_f1
Opir-multitask-large,jbb_behaviors_safety,0.6827189373773225,0.705
Opir-multitask-large,med_safety_bench_safe_unsafe,0.9949998749968749,0.995
Opir-multitask-large,oai,0.47665448218226775,0.5856980703745743
Opir-multitask-large,oai_safety,0.6074633123689728,0.671523178807947
Opir-multitask-large,offenseval_2020_safe_unsafe,0.6812650399105231,0.7704918032786885
Opir-multitask-large,or_bench_80k,0.43706372438639945,0.7764
Opir-multitask-large,or_bench_hard_1k,0.17972636815920398,0.21910538286580744
Opir-multitask-large,or_bench_toxic,0.49224806201550386,0.9694656488549618
Opir-multitask-large,pan12_predator_conversation_safety,0.47357158355192097,0.8199
Opir-multitask-large,polyguard_prompt_safety,0.8116055368872073,0.8140494458653026
Opir-multitask-large,polyguard_prompt_subcategory,0.4796271785599311,0.673853824437437
Opir-multitask-large,polyguard_response_refusal,0.5060642473519863,0.7706496074909692
Opir-multitask-large,polyguard_response_safety,0.8079259091772389,0.9012838605307542
Opir-multitask-large,saferlhf,0.48347936688577386,0.5876106194690266
Opir-multitask-large,saferlhf_response_safety,0.8733433522846813,0.8745355990011572
Opir-multitask-large,simplesafetytests,0.9138191632928475,0.9137055837563451
Opir-multitask-large,simplest,0.8667636867636869,0.8704663212435233
Opir-multitask-large,textdetox_multilingual_toxicity_safe_unsafe,0.5633543328330238,0.5939137501050803
Opir-multitask-large,toxicchat_jailbreaking_classification,0.6633988057191885,0.9457013574660633
Opir-multitask-large,toxicchat_safe_unsafe_classification,0.5729792203239589,0.8815660043281527
Opir-multitask-large,toxicchat_toxicity_classification,0.8325448915704708,0.9498327759197325
Opir-multitask-large,wildguard_prompt_safety,0.9791101738529566,0.9793996468510888
Opir-multitask-large,wildguard_prompt_subcategory,0.8335036886537764,0.7539337127552729
Opir-multitask-large,wildguard_response_refusal,0.527290188554093,0.5041118421052632
Opir-multitask-large,wildguard_response_safety,0.9164046231464789,0.9508484493856056
Opir-multitask-large,xstest,0.9438832772166106,0.9444444444444444
Opir-multitask-multilang,aegis_categories,0.5044676226404831,0.7157726180944756
Opir-multitask-multilang,aegis_prompt_safety,0.8593999003984063,0.8594704684317719
Opir-multitask-multilang,aegis_response_safety,0.7739154616240267,0.7785977859778598
Opir-multitask-multilang,beavertails,0.3169188963914883,0.39060061647987415
Opir-multitask-multilang,gliclass_jailbreaking_classification,0.8075722520672844,0.8755066589461494
Opir-multitask-multilang,gliclass_safe_unsafe_classification,0.9365036372078626,0.9393428022312849
Opir-multitask-multilang,gliclass_toxicity_classification,0.9109372107344657,0.9086092715231788
Opir-multitask-multilang,gliclass_unsafe_categorization,0.8836424657292314,0.9243747400938632
Opir-multitask-multilang,harmbench_prompts,0.4746815820345232,0.6597938144329897
Opir-multitask-multilang,harmbench_responses,0.22274891774891778,0.38323353293413176
Opir-multitask-multilang,oai,0.35588637231422027,0.4520547945205479
Opir-multitask-multilang,oai_safety,0.6125555935682518,0.6662251655629139
Opir-multitask-multilang,polyguard_prompt_safety,0.7133754992036065,0.7149872122762149
Opir-multitask-multilang,polyguard_prompt_subcategory,0.5599957123864588,0.726623768349085
Opir-multitask-multilang,polyguard_response_refusal,0.8749025311033221,0.8884538135664737
Opir-multitask-multilang,polyguard_response_safety,0.8150267396143966,0.8942622104429835
Opir-multitask-multilang,saferlhf,0.38006582765661856,0.4491838167040232
Opir-multitask-multilang,saferlhf_response_safety,0.8362399432561209,0.8362872282112187
Opir-multitask-multilang,simplesafetytests,0.822991452991453,0.826530612244898
Opir-multitask-multilang,simplest,0.8431713900134952,0.845360824742268
Opir-multitask-multilang,wildguard_prompt_safety,0.8850702801236132,0.8881695114773396
Opir-multitask-multilang,wildguard_prompt_subcategory,0.658834480201573,0.7920848867221107
Opir-multitask-multilang,wildguard_response_refusal,0.8905713389786329,0.8997118155619597
Opir-multitask-multilang,wildguard_response_safety,0.8522182118956312,0.9192510239906378
Opir-multitask-multilang,xstest,0.8034217464371798,0.8111111111111111
Qwen/Qwen3Guard-Gen-8B,aegis_prompt_safety,0.8248759810728866,0.8314663951120163
Qwen/Qwen3Guard-Gen-8B,aegis_response_safety,0.8671536469050327,0.8671586715867159
Qwen/Qwen3Guard-Gen-8B,jbb_behaviors_safety,0.6503011295828591,0.685
Qwen/Qwen3Guard-Gen-8B,med_safety_bench_safe_unsafe,0.94210786739238,0.9422222222222222
Qwen/Qwen3Guard-Gen-8B,oai_safety,0.6705672960033771,0.7152317880794702
Qwen/Qwen3Guard-Gen-8B,polyguard_prompt_safety,0.9069291359423599,0.9092242114236999
Qwen/Qwen3Guard-Gen-8B,polyguard_response_safety,0.7141555218508947,0.7686985853440265
Qwen/Qwen3Guard-Gen-8B,saferlhf_response_safety,0.7757166736354006,0.7901212010475669
